State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Botad,Botad,Jowar(Sorghum),Other,Non-FAQ,22/09/2025,1750,3705,2750,5
Gujarat,Rajkot,Jasdan,Jowar(Sorghum),Jowar ( White),FAQ,22/09/2025,2000,3720,3250,5
Maharashtra,Ahmednagar,Jamkhed,Jowar(Sorghum),Other,Non-FAQ,22/09/2025,3100,3700,3400,5
Gujarat,Sabarkantha,Modasa,Soyabean,Yellow,Non-FAQ,22/09/2025,4000,4100,4100,13
Chattisgarh,Kondagaon,Keshkal,Maize,Hybrid/Local,Non-FAQ,22/09/2025,1900,1950,1900,4
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Maize,Deshi Red,Local,22/09/2025,3500,4000,4000,4
Maharashtra,Buldhana,Chikali,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,22/09/2025,5500,6350,5925,8
Madhya Pradesh,Sehore,Ichhawar,Bengal Gram(Gram)(Whole),Gram,FAQ,22/09/2025,4400,8400,8400,6
Chattisgarh,Raipur,Arang,Paddy(Dhan)(Common),D.B.,FAQ,22/09/2025,1900,1900,1900,2
Madhya Pradesh,Vidisha,Shamshabad,Bengal Gram(Gram)(Whole),Gram,Non-FAQ,22/09/2025,5251,5251,5251,6
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),Paddy Coarse,Non-FAQ,22/09/2025,1700,1700,1700,2
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,22/09/2025,1500,1520,1510,2
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Paddy(Dhan)(Common),Other,FAQ,22/09/2025,1610,2075,1842,2
Uttar Pradesh,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,22/09/2025,3200,3400,3330,3
Maharashtra,Yavatmal,"Mahesh Krushi Utpanna Bazar, Digras",Soyabean,Other,Local,22/09/2025,4300,4300,4300,13
Maharashtra,Yavatmal,Ner Parasopant,Soyabean,Yellow,Non-FAQ,22/09/2025,3670,4295,4070,13
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ),Maize,Deshi Red,Local,22/09/2025,3000,3500,3500,4
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ),Maize,Deshi Red,Local,22/09/2025,2400,2800,2800,4
Tamil Nadu,Pudukkottai,Pudukottai(Uzhavar Sandhai ),Maize,Deshi Red,Local,22/09/2025,2500,3000,3000,4
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ),Maize,Deshi Red,Local,22/09/2025,3000,3000,3000,4
Maharashtra,Beed,Gevrai,Green Gram (Moong)(Whole),Other,Non-FAQ,22/09/2025,5500,7500,6500,9
Uttar Pradesh,Azamgarh,Azamgarh,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,22/09/2025,8775,8875,8825,8
Uttar Pradesh,Balrampur,Balrampur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,22/09/2025,8850,9050,8950,8
Madhya Pradesh,Shivpuri,Barad,Mustard,Mustard,Non-FAQ,22/09/2025,6800,6915,6915,12
