state_name,district_name,market_name,commodity_name,variety,min_price,max_price,modal_price,date
Uttar Pradesh,Badaun,Wazirganj,Tomato,Deshi,2800,2850,2825,08/09/2025
Uttar Pradesh,Balrampur,Tulsipur,Tomato,Hybrid,3010,3080,3050,08/09/2025
Uttar Pradesh,Bijnor,Chaandpur,Tomato,Hybrid,1400,1600,1500,08/09/2025
Uttar Pradesh,Bulandshahar,Anoop Shahar,Tomato,Deshi,1600,3000,2800,08/09/2025
Uttar Pradesh,Bulandshahar,Siyana,Tomato,Local,2800,3000,2900,08/09/2025
Uttar Pradesh,Etawah,Bharthna,Tomato,Hybrid,2120,2320,2220,08/09/2025
Uttar Pradesh,Farukhabad,Farukhabad,Tomato,Hybrid,2750,2900,2850,08/09/2025
Uttar Pradesh,Firozabad,Firozabad,Tomato,Hybrid,2400,2650,2525,08/09/2025
Gujarat,Gir Somnath,Talalagir,Green Chilli,Other,3000,5000,4000,08/09/2025
Gujarat,Surendranagar,Vadhvan,Green Chilli,Green Chilly,1500,2000,1750,08/09/2025
Uttar Pradesh,Hardoi,Madhoganj,Tomato,Hybrid,2800,2850,2820,08/09/2025
Uttar Pradesh,Jalaun (Orai),Orai,Tomato,Hybrid,2400,2950,2650,08/09/2025
Uttar Pradesh,Kasganj,Kasganj,Tomato,Hybrid,2550,2660,2600,08/09/2025
Uttar Pradesh,Kushinagar,Tamkuhi road,Tomato,Tomato,1525,1560,1540,08/09/2025
Uttar Pradesh,Lakhimpur,Golagokarnath,Tomato,Hybrid,2900,3000,2980,08/09/2025
Uttar Pradesh,Lakhimpur,Golagokarnath,Tomato,Hybrid,2750,2850,2800,08/09/2025
Haryana,Mahendragarh-Narnaul,Narnaul,Green Chilli,Green Chilly,2500,4000,3000,08/09/2025
Haryana,Panchkula,Raipur Rai,Green Chilli,Other,2800,3000,2800,08/09/2025
Himachal Pradesh,Kangra,Dharamshala,Green Chilli,Other,5000,5500,5250,08/09/2025
Uttar Pradesh,Lakhimpur,Lakhimpur,Tomato,Deshi,2960,3100,3000,08/09/2025
Uttar Pradesh,Maharajganj,Nautnava,Tomato,Hybrid,2000,2200,2100,08/09/2025
Uttar Pradesh,Mirzapur,Mirzapur,Tomato,Hybrid,2675,2800,2750,08/09/2025
Uttar Pradesh,Prayagraj,Jasra,Tomato,Hybrid,2900,3090,3030,08/09/2025
Telangana,Mahbubnagar,Kalwakurthy,Tomato,Local,1000,1600,1300,08/09/2025
Telangana,Ranga Reddy,Chevella,Tomato,Deshi,2000,2000,2000,08/09/2025
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Tomato,Deshi,2300,2300,2300,08/09/2025
Odisha,Sundergarh,Sargipali,Tomato,Other,4500,5000,4800,08/09/2025
Punjab,Ferozpur,Firozepur City,Tomato,Other,4000,4500,4250,08/09/2025
Punjab,Gurdaspur,Dinanagar,Tomato,Tomato,3500,4000,3600,08/09/2025
Punjab,Hoshiarpur,Garh Shankar,Tomato,Deshi,2500,3000,2800,08/09/2025
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Tomato,Other,2500,3200,3000,08/09/2025
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Tomato,4000,6000,5000,08/09/2025
Punjab,Mohali,Lalru,Tomato,Other,2500,3100,2900,08/09/2025
Punjab,Patiala,Samana,Tomato,Hybrid,3500,5000,4000,08/09/2025
Punjab,Sangrur,Ahmedgarh,Tomato,Other,6000,6500,6000,08/09/2025
Rajasthan,Bharatpur,Bayana,Tomato,Other,2500,2500,2500,08/09/2025
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Tomato,Other,2000,3500,3000,08/09/2025
Uttar Pradesh,Agra,Achnera,Tomato,Deshi,2450,2550,2500,08/09/2025
Uttar Pradesh,Agra,Agra,Tomato,Hybrid,2200,2700,2500,08/09/2025
Uttar Pradesh,Aligarh,Khair,Tomato,Hybrid,3500,4000,3800,08/09/2025
Uttar Pradesh,Amroha,Hasanpur,Tomato,Deshi,1810,2000,1850,08/09/2025
Uttar Pradesh,Auraiya,Dibiapur,Tomato,Hybrid,1800,2000,1900,08/09/2025
Uttar Pradesh,Azamgarh,Azamgarh,Tomato,Hybrid,2875,3025,2950,08/09/2025
Uttar Pradesh,Badaun,Wazirganj,Tomato,Deshi,2950,3000,2975,08/09/2025
Haryana,Kurukshetra,Thanesar,Green Chilli,Green Chilly,2000,4000,3000,08/09/2025
Maharashtra,Satara,Patan,Green Chilli,Other,2000,3000,2500,08/09/2025
Maharashtra,Satara,Vai,Green Chilli,Other,4000,5000,4500,08/09/2025
Nagaland,Longleng,Longleng,Green Chilli,Other,9400,9700,9500,08/09/2025
NCT of Delhi,Delhi,Azadpur,Green Chilli,Green Chilly,1500,4500,2650,08/09/2025
Odisha,Dhenkanal,Kamakhyanagar,Green Chilli,Green Chilly,8000,8500,8000,08/09/2025
Kerala,Kottayam,Thalayolaparambu,Green Chilli,Green Chilly,6900,7300,7000,08/09/2025
West Bengal,Darjeeling,Karsiyang(Matigara),Tomato,Other,4300,4500,4400,08/09/2025
Kerala,Palakad,Koduvayoor,Green Chilli,Other,7000,7500,7300,08/09/2025
Kerala,Thirssur,Chelakkara,Green Chilli,Other,6000,6500,6200,08/09/2025
Kerala,Thiruvananthapuram,Neyyatinkara,Green Chilli,Green Chilly,7300,8000,7700,08/09/2025
Madhya Pradesh,Hoshangabad,Hoshangabad(F&V),Green Chilli,Green Chilly,2090,3710,2830,08/09/2025
West Bengal,Hooghly,Pandua,Tomato,Hybrid,3000,3300,3200,08/09/2025
West Bengal,Medinipur(E),Egra/contai,Tomato,Tomato,4000,4200,4100,08/09/2025
West Bengal,North 24 Parganas,Habra,Tomato,Other,2600,2800,2700,08/09/2025
Madhya Pradesh,Rajgarh,Sarangpur(F&V),Green Chilli,Green Chilly,1000,4100,2800,08/09/2025
Maharashtra,Nagpur,Nagpur,Green Chilli,Other,2000,2500,2350,08/09/2025
Himachal Pradesh,Kullu,Bhuntar,Green Chilli,Other,4000,5000,4500,08/09/2025
Himachal Pradesh,Kullu,Kullu,Green Chilli,Other,5000,7000,6000,08/09/2025
Himachal Pradesh,Mandi,Dhanotu (Mandi),Green Chilli,Other,3500,6000,4500,08/09/2025
Himachal Pradesh,Mandi,Mandi(Mandi),Green Chilli,Other,4000,8000,7000,08/09/2025
Kerala,Alappuzha,Chengannur,Green Chilli,Green Chilly,4800,5300,5000,08/09/2025
Kerala,Alappuzha,THAMARAKKULAM VFPCK,Green Chilli,Green Chilly,120,160,140,08/09/2025
Uttar Pradesh,Raebarelli,Lalganj,Tomato,Hybrid,3000,3200,3100,08/09/2025
Uttar Pradesh,Saharanpur,Saharanpur,Tomato,Hybrid,2500,3100,2800,08/09/2025
Uttar Pradesh,Shamli,Thanabhavan,Tomato,Hybrid,3000,3200,3100,08/09/2025
Uttar Pradesh,Shravasti,Payagpur,Tomato,Deshi,2800,3000,2900,08/09/2025
West Bengal,Howrah,Ramkrishanpur(Howrah),Tomato,Other,4000,4800,4500,08/09/2025
Maharashtra,Nagpur,Parshiwani,Green Chilli,Other,2500,3000,2800,08/09/2025
Haryana,Kaithal,Kaithal,Potato,(Red Nanital),1000,2400,1700,08/09/2025
Kerala,Alappuzha,Kayamkulam,Onion,Big,2100,2300,2200,08/09/2025
Kerala,Ernakulam,Perumbavoor,Onion,Onion,2800,3800,3200,08/09/2025
Kerala,Kannur,Kannur,Onion,Other,2300,2500,2400,08/09/2025
Haryana,Panchkula,"New Grain Market , Panchkula",Potato,Other,1800,2500,2000,08/09/2025
Haryana,Panipat,Panipat,Potato,Other,500,1500,1000,08/09/2025
Haryana,Rohtak,Rohtak,Potato,Other,600,1000,800,08/09/2025
Haryana,Rohtak,Sampla,Potato,Other,1400,1400,1400,08/09/2025
Haryana,Sirsa,Ellanabad,Potato,Potato,500,1000,700,08/09/2025
Haryana,Sonipat,Sonepat(Kharkhoda),Potato,Other,1000,1500,1200,08/09/2025
Haryana,Yamuna Nagar,Sadhaura,Potato,Other,700,1000,800,08/09/2025
Himachal Pradesh,Bilaspur,Bilaspur,Potato,Local,1000,3300,2300,08/09/2025
Himachal Pradesh,Hamirpur,Hamirpur,Potato,Desi,1200,1600,1400,08/09/2025
Himachal Pradesh,Hamirpur,Hamirpur,Potato,Other,2400,2800,2600,08/09/2025
Himachal Pradesh,Kangra,Kangra(Baijnath),Potato,Potato,1600,2700,2000,08/09/2025
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Potato,Other,1100,2200,1400,08/09/2025
Himachal Pradesh,Mandi,Mandi(Mandi),Potato,Potato,1000,2400,1500,08/09/2025
Kerala,Kottayam,Pampady,Onion,Big,3500,4500,4000,08/09/2025
Kerala,Kozhikode(Calicut),Perambra,Onion,Other,2100,2300,2300,08/09/2025
Kerala,Kozhikode(Calicut),Quilandy,Onion,Other,2400,2500,2500,08/09/2025
Kerala,Malappuram,Kottakkal,Onion,Other,2100,2300,2200,08/09/2025
Kerala,Malappuram,Manjeri,Onion,Other,2300,2400,2350,08/09/2025
Kerala,Malappuram,Parappanangadi,Onion,Other,1950,2050,2050,08/09/2025
Kerala,Palakad,Koduvayoor,Onion,Big,2000,2400,2200,08/09/2025
Kerala,Palakad,vadakarapathy,Onion,Small,1800,2000,1900,08/09/2025
Madhya Pradesh,Dhar,Manawar(F&V),Onion,Onion,1329,1529,1429,08/09/2025
Madhya Pradesh,Dhar,Rajgarh,Onion,Onion,600,600,600,08/09/2025
Madhya Pradesh,Harda,Harda(F&V),Onion,Other,1000,1200,1100,08/09/2025
Madhya Pradesh,Hoshangabad,Hoshangabad(F&V),Onion,Onion,1330,1900,1450,08/09/2025
Madhya Pradesh,Hoshangabad,Pipariya(F&V),Onion,Onion,950,2000,1500,08/09/2025
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Bhushavali(Pacha),2200,2700,2500,08/09/2025
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(White),2100,2900,2600,08/09/2025
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Karpura,1600,2600,2200,08/09/2025
Haryana,Hissar,Barwala(Hisar),Banana,Other,3800,4000,3900,08/09/2025
Madhya Pradesh,Sagar,Khurai(F&V),Onion,1st Sort,700,1100,900,08/09/2025
Himachal Pradesh,Solan,Solan,Potato,Other,1200,2800,2800,08/09/2025
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Potato,Potato,1300,1500,1400,08/09/2025
Kerala,Ernakulam,North Paravur,Potato,(Red Nanital),4000,5000,4500,08/09/2025
Kerala,Ernakulam,Perumbavoor,Potato,Potato,3700,4700,4000,08/09/2025
Kerala,Kannur,Thalasserry,Potato,Other,2200,2500,2300,08/09/2025
Himachal Pradesh,Kullu,Bhuntar,Banana,Other,3400,3600,3500,08/09/2025
Himachal Pradesh,Kullu,Kullu,Banana,Other,3000,3300,3200,08/09/2025
Maharashtra,Ahmednagar,Karjat,Onion,Local,200,1400,800,08/09/2025
Maharashtra,Akola,Akola,Onion,Other,600,1600,1200,08/09/2025
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,300,1200,750,08/09/2025
Maharashtra,Nashik,Chandvad,Onion,Other,400,1641,1230,08/09/2025
Himachal Pradesh,Sirmore,Paonta Sahib,Banana,Other,4000,5000,4500,08/09/2025
Himachal Pradesh,Una,Una,Banana,Medium,2400,2800,2600,08/09/2025
Jammu and Kashmir,Jammu,Batote,Banana,Other,4600,4800,4700,08/09/2025
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,1000,2600,1800,08/09/2025
Kerala,Alappuzha,THAMARAKKULAM VFPCK,Banana,Nendra Bale,45,75,50,08/09/2025
Kerala,Ernakulam,Amalapuram  VFPCK,Banana,Poovan,5200,5400,5300,08/09/2025
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Other,700,1300,1130,08/09/2025
Kerala,Kollam,Kottarakkara,Potato,Other,3800,4000,4000,08/09/2025
Maharashtra,Sholapur,Solapur,Onion,Red,100,2300,1100,08/09/2025
Kerala,Kozhikode(Calicut),Kallachi,Potato,Other,2600,3000,2800,08/09/2025
Kerala,Malappuram,Kottakkal,Potato,Other,2300,2500,2400,08/09/2025
Kerala,Thirssur,Chavakkad,Potato,Other,3600,4400,4400,08/09/2025
